  180;3.03554724;    3245; 1069
  181;3.00183993;    3263; 1087
  182;2.99633364;    3269; 1091
  183;3.00548948;    3285; 1093
  184;3.04375570;    3339; 1097
  185;3.03989121;    3353; 1103
  186;3.03426510;    3365; 1109
  187;3.04476276;    3401; 1117
  188;3.06411398;    3441; 1123
  189;3.05314438;    3447; 1129
  190;3.02432667;    3481; 1151
  191;3.03642671;    3501; 1153
  192;3.01719690;    3509; 1163
  193;3.02049530;    3537; 1171
  194;3.02878916;    3577; 1181
  195;3.02021904;    3585; 1187
  196;3.03520536;    3621; 1193
  197;3.02164863;    3629; 1201
  198;3.00494641;    3645; 1213
  199;3.01314708;    3667; 1217
  200;3.00817661;    3679; 1223
  201;3.03580146;    3731; 1229
  202;3.04061738;    3743; 1231
  203;3.03880356;    3759; 1237
  204;3.02882306;    3783; 1249
  205;3.02700556;    3811; 1259
  206;2.99843383;    3829; 1277
  207;3.00469116;    3843; 1279
  208;3.00779423;    3859; 1283
  209;2.99844841;    3865; 1289
  210;3.01084431;    3887; 1291
  211;3.00154202;    3893; 1297
  212;2.99846272;    3901; 1301
  213;3.08288565;    4017; 1303
  214;3.08416220;    4031; 1307
  215;3.05761941;    4033; 1319
  216;3.09235428;    4085; 1321
  217;3.07837227;    4085; 1327
  218;3.03085966;    4125; 1361
  219;3.03657644;    4151; 1367
  220;3.03495994;    4167; 1373
  221;3.04489500;    4205; 1381
  222;3.03002144;    4239; 1399
  223;3.01561391;    4249; 1409
  224;2.99859452;    4267; 1423
  225;2.99859846;    4279; 1427
  226;3.01119664;    4303; 1429
  227;3.01535241;    4321; 1433
  228;3.01250869;    4335; 1439
  229;3.01796821;    4367; 1447
  230;3.01791868;    4379; 1451
  231;3.03028217;    4403; 1453
  232;3.02604524;    4415; 1459
  233;3.00951734;    4427; 1471
  234;2.99729912;    4439; 1481
  235;2.99730276;    4445; 1483
  236;3.02286483;    4495; 1487
  237;3.01880457;    4495; 1489
  238;3.04286671;    4543; 1493
  239;3.03869246;    4555; 1499
  240;3.03044341;    4579; 1511
  241;3.02101116;    4601; 1523
  242;3.02482038;    4631; 1531
  243;3.00259235;    4633; 1543
  244;3.00387347;    4653; 1549
  245;3.01416613;    4681; 1553
  246;3.02180885;    4711; 1559
  247;3.01659221;    4727; 1567
  248;3.02546149;    4753; 1571
  249;3.01519949;    4761; 1579
  250;3.01389766;    4771; 1583
  251;3.00375704;    4797; 1597
  252;3.00249844;    4807; 1601
  253;2.99875544;    4819; 1607
  254;3.00372902;    4833; 1609
  255;3.00619963;    4849; 1613
  256;3.04447190;    4929; 1619
  257;3.05305367;    4949; 1621
  258;3.06023356;    4979; 1627
  259;3.04520464;    4985; 1637
  260;3.02655401;    5015; 1657
  261;3.01683704;    5017; 1663
  262;3.02879424;    5049; 1667
  263;3.03954464;    5073; 1669
  264;2.99763733;    5075; 1693
  265;3.02474956;    5133; 1697
  266;3.02354326;    5137; 1699
  267;3.03159743;    5181; 1709
  268;3.01045904;    5181; 1721
  269;3.01857226;    5201; 1723
  270;3.01038661;    5217; 1733
  271;3.03905801;    5291; 1741
  272;3.05609616;    5339; 1747
  273;3.04905876;    5345; 1753
  274;3.03865833;    5345; 1759
  275;3.02138436;    5369; 1777
  276;3.01121705;    5369; 1783
  277;3.03693341;    5427; 1787
  278;3.03465623;    5429; 1789
  279;3.04664076;    5487; 1801
  280;3.03533959;    5497; 1811
  281;3.02303895;    5511; 1823
  282;3.02949208;    5547; 1831
  283;3.01949107;    5577; 1847
  284;3.00752284;    5597; 1861
  285;3.00107124;    5603; 1867
  286;2.99893105;    5611; 1871
  287;3.01601708;    5649; 1873
  288;3.03409696;    5695; 1877
  289;3.03086748;    5695; 1879
  290;3.04976178;    5761; 1889
  291;3.03051026;    5761; 1901
  292;3.04299948;    5803; 1907
  293;3.03659174;    5809; 1913
  294;3.01657172;    5825; 1931
  295;3.02172788;    5841; 1933
  296;3.01847101;    5883; 1949
  297;3.03177858;    5915; 1951
  298;3.01115053;    5941; 1973
  299;3.00606367;    5949; 1979
  300;3.00704580;    5975; 1987
  301;2.99899649;    5977; 1993
  302;2.99899850;    5989; 1997
  303;3.00300150;    6003; 1999
  304;3.00898652;    6027; 2003
  305;3.01292889;    6059; 2011
  306;3.01289043;    6077; 2017
  307;3.01677356;    6115; 2027
  308;3.03252834;    6153; 2029
  309;3.01961746;    6157; 2039
  310;3.01169021;    6183; 2053
  311;3.01648085;    6223; 2063
  312;3.00773320;    6223; 2069
  313;2.99903892;    6241; 2081
  314;3.00096015;    6251; 2083
  315;3.01629133;    6295; 2087
  316;3.01819052;    6305; 2089
  317;3.02286803;    6345; 2099
  318;3.00757935;    6349; 2111
  319;3.01798391;    6377; 2113
  320;2.99906059;    6385; 2129
  321;3.00656969;    6407; 2131
  322;3.03182031;    6479; 2137
  323;3.02615600;    6479; 2141
  324;3.04759683;    6531; 2143
  325;3.04458895;    6555; 2153
  326;3.03424341;    6557; 2161
  327;3.03579624;    6615; 2179
  328;3.00726282;    6625; 2203
  329;3.03806072;    6705; 2207
  330;3.02982377;    6705; 2213
  331;3.01891040;    6705; 2221
  332;3.01072865;    6735; 2237
  333;3.01161233;    6743; 2239
  334;3.01604993;    6765; 2243
  335;3.01066193;    6777; 2251
  336;2.99911778;    6799; 2267
  337;3.01674747;    6845; 2269
  338;3.01143863;    6845; 2273
  339;3.00438404;    6853; 2281
  340;3.00612156;    6875; 2287
  341;3.01831662;    6921; 2293
  342;3.02263822;    6943; 2297
  343;3.00779558;    6945; 2309
  344;3.02336651;    6987; 2311
  345;3.00428633;    7009; 2333
  346;2.99914493;    7015; 2339
  347;3.01879539;    7067; 2341
  348;3.01107797;    7067; 2347
  349;3.01446193;    7087; 2351
  350;3.01272804;    7101; 2357
  351;3.00168705;    7117; 2371
  352;3.00084140;    7133; 2377
  353;2.99916002;    7141; 2381
  354;3.01007134;    7173; 2383
  355;3.02678945;    7231; 2389
  356;3.04178855;    7279; 2393
  357;3.03418091;    7279; 2399
  358;3.04396516;    7339; 2411
  359;3.03640877;    7339; 2417
  360;3.02888981;    7339; 2423
  361;3.03200657;    7389; 2437
  362;3.02703810;    7389; 2441
  363;3.01961586;    7389; 2447
  364;3.02765352;    7445; 2459
  365;3.02756384;    7469; 2467
  366;3.04124545;    7521; 2473
  367;3.04925313;    7553; 2477
  368;3.03116260;    7587; 2503
  369;3.01348671;    7597; 2521
  370;3.00869222;    7615; 2531
  371;3.00236314;    7623; 2539
